VarName,ready,Conventions,category,orig_order,index_function,N_parameters,parameter_name,N_inputs,allowed_freq,default_freq,OUTPUT_standard_name,OUTPUT_standard_name_table_version,OUTPUT_proposed_standard_name,OUTPUT_cell_methods,OUTPUT_long_name,OUTPUT_canonical_units,OUTPUT_units,OUTPUT_user_units,OUTPUT_reference,PARAMETER_definition,PARAMETER_VarName,PARAMETER_standard_name,PARAMETER_value,PARAMETER_units,PARAMETER_relop,INPUT_variable,INPUT_timeresol,INPUT_standard_name,INPUT_cell_methods,ET_short_name,ET_long_name,ET_definition,ET_comment,,,,,,,,,,,
fd,1,CF-1.5,1,1,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_below_threshold,v65,number_of_ocurrences_with_air_temperature_below_threshold,time: minimum within days time: sum over days,Number of Frost Days (Tmin < 0C),1,1,days,ETCCDI,"threshold: (var_name: threshold, standard_name: air_temperature, value: 0, unit: degree_Celsius), condition: <",,,,,,tasmin,day,air_temperature,time: minimum,fd,Frost days,Count when TN < 0ºC,count of days when daily minimum temperature is below 0 degC,,,,,,,,,,,
tnlt2,1,CF-1.5,2,2,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_below_threshold,v65,number_of_ocurrences_with_air_temperature_below_threshold,time: minimum within days time: sum over days,Number of Frost Days (Tmin < +2C),1,1,days,ET-SCI,"threshold: (var_name: threshold, standard_name: air_temperature, value: 2, unit: degree_Celsius), condition: <",,,,,,tasmin,day,air_temperature,time: minimum,fd2,Frost days 2,Count when TN < 2ºC,count of days when daily minimum temperature is below plus 2 degC,,,,,,,,,,,
tnltm2,1,CF-1.5,2,3,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_below_threshold,v65,number_of_ocurrences_with_air_temperature_below_threshold,time: minimum within days time: sum over days,,1,1,days,ET-SCI,"threshold: (var_name: threshold, standard_name: air_temperature, value: -2, unit: degree_Celsius), condition: <",,,,,,tasmin,day,air_temperature,time: minimum,fdm2,Hard freeze,Count when TN < -2ºC,count of days when daily minimum temperature is below minus 2 degC,,,,,,,,,,,
tnltm20,1,CF-1.5,2,4,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_below_threshold,v65,number_of_ocurrences_with_air_temperature_below_threshold,time: minimum within days time: sum over days,,1,1,days,ET-SCI,"threshold: (var_name: threshold, standard_name: air_temperature, value: -20, unit: degree_Celsius), condition: <",,,,,,tasmin,day,air_temperature,time: minimum,fdm20,Very hard freeze,Count when TN < -20ºC,count of days when daily minimum temperature is below minus 20 degC,,,,,,,,,,,
id,1,CF-1.5,1,5,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_below_threshold,v65,number_of_ocurrences_with_air_temperature_below_threshold,time: minimum within days time: sum over days,,1,1,days,ETCCDI,"threshold: (var_name: threshold, standard_name: air_temperature, value: 0, unit: degree_Celsius), condition: <",,,,,,tasmax,day,air_temperature,time: maximum,id,Ice days,Count when TX < 0ºC,count of days when daily maximum temperature is below 0 degC,,,,,,,,,,,
su,1,CF-1.5,1,6,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_above_threshold,v65,number_of_ocurrences_with_air_temperature_above_threshold,time: minimum within days time: sum over days,,1,1,days,ETCCDI,"threshold: (var_name: threshold, standard_name: air_temperature, value: 25, unit: degree_Celsius), condition: >",,,,,,tasmax,day,air_temperature,time: maximum,su,Summer days,Count when TX > 25ºC,count of days when daily maximum temperature is above plus 25 degC,,,,,,,,,,,
txge30,1,CF-1.5,2,7,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_above_threshold,v65,number_of_occurrences_with_air_temperature_at_or_above_threshold,time: minimum within days time: sum over days,,1,1,days,ET-SCI,"threshold: (var_name: threshold, standard_name: air_temperature, value: 30, unit: degree_Celsius), condition: >=",,,,,,tasmax,day,air_temperature,time: maximum,su30,Hot days,Count when TX >= 30ºC,count of days when daily maximum temperature is above or equal plus 30 degC,,,,,,,,,,,
txge35,1,CF-1.5,2,8,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_above_threshold,v65,number_of_occurrences_with_air_temperature_at_or_above_threshold,time: maximum within days time: sum over days,Number of Very Hot Days (Tmax >= 35C),1,1,days,ET-SCI,"threshold: (var_name: threshold, standard_name: air_temperature, value: 35, unit: degree_Celsius), condition: >=",,,,,,tasmax,day,air_temperature,time: maximum,su35,Very hot days,Count when TX >= 35ºC,count of days when daily maximum temperature is above or equal plus 35 degC,,,,,,,,,,,
tr,1,CF-1.5,1,9,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_above_threshold,v65,number_of_ocurrences_with_air_temperature_above_threshold,time: minimum within days time: sum over days,Number of Tropical Nights (Tmin > 20C),1,1,days,ETCCDI,"threshold: (var_name: threshold, standard_name: air_temperature, value: 20, unit: degree_Celsius), condition: >",,,,,,tasmin,day,air_temperature,time: minimum,tr,Tropical nights,Count when TN > 20ºC,count of days when daily minimum temperature is above plus 20 degC,,,,,,,,,,,
tmge5,1,CF-1.5,2,10,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_above_threshold,v65,number_of_occurrences_with_air_temperature_at_or_above_threshold,time: mean within days time: sum over days,Number of days with Tmean >= 5C,1,1,days,ET-SCI,"threshold: (var_name: threshold, standard_name: air_temperature, value: 5, unit: degree_Celsius), condition: <",,,,,,tas,day,air_temperature,time: mean,tm5a,TM above 5C,Count when TM >= 5ºC,count of days when daily mean temperature is above plus 5 degC,,,,,,,,,,,
tmlt5,1,CF-1.5,2,11,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_below_threshold,v65,number_of_occurrences_with_air_temperature_below_threshold,time: mean within days time: sum over days,Number of days with Tmean < 5C,1,1,days,ET-SCI,"threshold: (var_name: threshold, standard_name: air_temperature, value: 5, unit: degree_Celsius), condition: >=",,,,,,tas,day,air_temperature,time: mean,tm5b,TM below 5C,Count when TM < 5ºC,count of days when daily mean temperature is below plus 5 degC,,,,,,,,,,,
tmge10,1,CF-1.5,2,12,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_above_threshold,v65,number_of_occurrences_with_air_temperature_at_or_above_threshold,time: mean within days time: sum over days,Number of days with Tmean >= 10C,1,1,days,ET-SCI,"threshold: (var_name: threshold, standard_name: air_temperature, value: 10, unit: degree_Celsius), condition: <",,,,,,tas,day,air_temperature,time: mean,tm10a,TM above 10C,Count when TM >= 10ºC,count of days when daily mean temperature is above plus 10 degC,,,,,,,,,,,
tmlt10,1,CF-1.5,2,13,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_below_threshold,v65,number_of_ocurrences_with_air_temperature_below_threshold,time: mean within days time: sum over days,Number of days with Tmean < 10C,1,1,days,ET-SCI,"threshold: (var_name: threshold, standard_name: air_temperature, value: 10, unit: degree_Celsius), condition: >=",,,,,,tas,day,air_temperature,time: mean,tm10b,TM below 10C,Count when TM < 10ºC,count of days when daily mean temperature is below plus 10 degC,,,,,,,,,,,
tngt{TT},1,CF-1.5,3,14,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_above_threshold,v65,number_of_occurrences_with_air_temperature_above_threshold,time: minimum within days time: sum over days,Number of days with Tmin > {TT}C,1,1,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: >",,,,,,tasmin,day,air_temperature,time: minimum,_,_,_,count of days when daily minimum temperature is above {TT} degC,,,,,,,,,,,
tnlt{TT},1,CF-1.5,3,15,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_below_threshold,v65,number_of_occurrences_with_air_temperature_below_threshold,time: minimum within days time: sum over days,Number of days with Tmin < {TT}C,1,1,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: <",,,,,,tasmin,day,air_temperature,time: minimum,_,_,_,count of days when daily minimum temperature is below {TT} degC,,,,,,,,,,,
tnge{TT},0,CF-1.5,3,16,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_above_threshold,v65,number_of_occurrences_with_air_temperature_at_or_above_threshold,time: minimum within days time: sum over days,Number of days with Tmin >= {TT}C,1,1,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: >=",,,,,,tasmin,day,air_temperature,time: minimum,_,_,_,count of days when daily minimum temperature is above or equal {TT} degC,,,,,,,,,,,
tnle{TT},0,CF-1.5,3,17,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_below_threshold,v65,number_of_occurrences_with_air_temperature_at_or_below_threshold,time: minimum within days time: sum over days,Number of days with Tmin <= {TT}C,1,1,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: <=",,,,,,tasmin,day,air_temperature,time: minimum,_,_,_,count of days when daily minimum temperature is below or equal{TT} degC,,,,,,,,,,,
txgt{TT},1,CF-1.5,3,18,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_above_threshold,v65,number_of_occurrences_with_air_temperature_above_threshold,time: maximum within days time: sum over days,Number of days with Tmax > {TT}C,1,1,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: >",,,,,,tasmax,day,air_temperature,time: maximum,_,_,_,count of days when daily maximum temperature is above {TT} degC,,,,,,,,,,,
txlt{TT},1,CF-1.5,3,19,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_below_threshold,v65,number_of_occurrences_with_air_temperature_below_threshold,time: maximum within days time: sum over days,Number of days with Tmax < {TT}C,1,1,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: <",,,,,,tasmax,day,air_temperature,time: maximum,_,_,_,count of days when daily maximum temperature is below {TT} degC,,,,,,,,,,,
txge{TT},0,CF-1.5,3,20,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_above_threshold,v65,number_of_occurrences_with_air_temperature_at_or_above_threshold,time: maximum within days time: sum over days,Number of days with Tmax >= {TT}C,1,1,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: >=",,,,,,tasmax,day,air_temperature,time: maximum,_,_,_,count of days when daily maximum temperature is above or equal {TT} degC,,,,,,,,,,,
txle{TT},0,CF-1.5,3,21,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_below_threshold,v65,number_of_occurrences_with_air_temperature_at_or_below_threshold,time: maximum within days time: sum over days,Number of days with Tmax <= {TT}C,1,1,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: <=",,,,,,tasmax,day,air_temperature,time: maximum,_,_,_,count of days when daily maximum temperature is below or equal {TT} degC,,,,,,,,,,,
tmgt{TT},1,CF-1.5,3,22,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_above_threshold,v65,number_of_occurrences_with_air_temperature_above_threshold,time: mean within days time: sum over days,Number of days with Tmean > {TT}C,1,1,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: >",,,,,,tas,day,air_temperature,time: mean,_,_,_,count of days when daily mean temperature is above {TT} degC,,,,,,,,,,,
tmlt{TT},1,CF-1.5,3,23,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_below_threshold,v65,number_of_occurrences_with_air_temperature_below_threshold,time: mean within days time: sum over days,Number of days with Tmean < {TT}C,1,1,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: <",,,,,,tas,day,air_temperature,time: mean,_,_,_,count of days when daily mean temperature is below {TT} degC,,,,,,,,,,,
tmge{TT},0,CF-1.5,3,24,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_above_threshold,v65,number_of_occurrences_with_air_temperature_at_or_above_threshold,time: mean within days time: sum over days,Number of days with Tmean >= {TT}C,1,1,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: >=",,,,,,tas,day,air_temperature,time: mean,_,_,_,count of days when daily mean temperature is above or equal {TT} degC,,,,,,,,,,,
tmle{TT},0,CF-1.5,3,25,count_occurrences,2,"threshold, condition",1,ann/sea/mon,ann,number_of_days_with_air_temperature_below_threshold,v65,number_of_occurrences_with_air_temperature_at_or_below_threshold,time: mean within days time: sum over days,Number of days with Tmean <= {TT}C,1,1,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: <=",,,,,,tas,day,air_temperature,time: mean,_,_,_,count of days when daily mean temperature is below or equal{TT} degC,,,,,,,,,,,
ctngt{TT},1,CF-1.5,3,26,spell_length,3,"threshold, condition, reducer",1,ann/sea/mon,ann,spell_length_of_days_with_air_temperature_above_threshold,v65,spell_length_with_air_temperature_above_threshold,time: minimum within days time: maximum over days,Maximum number of consequtive days with Tmin > {TT}C,day,day,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: >, reducer: maximum",,,,,,tasmin,day,air_temperature,time: minimum,_,_,_,count of days when daily minimum temperature is above {TT} degC,,,,,,,,,,,
ctnlt{TT},1,CF-1.5,3,27,spell_length,3,"threshold, condition, reducer",1,ann/sea/mon,ann,spell_length_of_days_with_air_temperature_below_threshold,v65,spell_length_with_air_temperature_below_threshold,time: minimum within days time: maximum over days,Maximum number of consequtive days with Tmin < {TT}C,day,day,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: <, reducer: maximum",,,,,,tasmin,day,air_temperature,time: minimum,_,_,_,count of days when daily minimum temperature is below {TT} degC,,,,,,,,,,,
ctnge{TT},0,CF-1.5,3,28,spell_length,3,"threshold, condition, reducer",1,ann/sea/mon,ann,spell_length_of_days_with_air_temperature_above_threshold,v65,spell_length_with_air_temperature_at_or_above_threshold,time: minimum within days time: maximum over days,Maximum number of consequtive days with Tmin >= {TT}C,day,day,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: >=, reducer: maximum",,,,,,tasmin,day,air_temperature,time: minimum,_,_,_,count of days when daily minimum temperature is above or equal {TT} degC,,,,,,,,,,,
ctnle{TT},0,CF-1.5,3,29,spell_length,3,"threshold, condition, reducer",1,ann/sea/mon,ann,spell_length_of_days_with_air_temperature_below_threshold,v65,spell_length_with_air_temperature_at_or_below_threshold,time: minimum within days time: maximum over days,Maximum number of consequtive days with Tmin <= {TT}C,day,day,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: <=, reducer: maximum",,,,,,tasmin,day,air_temperature,time: minimum,_,_,_,count of days when daily minimum temperature is below or equal{TT} degC,,,,,,,,,,,
ctxgt{TT},1,CF-1.5,3,30,spell_length,3,"threshold, condition, reducer",1,ann/sea/mon,ann,spell_length_of_days_with_air_temperature_above_threshold,v65,spell_length_with_air_temperature_above_threshold,time: maximum within days time: maximum over days,Maximum number of consequtive days with Tmax > {TT}C,day,day,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: >, reducer: maximum",,,,,,tasmax,day,air_temperature,time: maximum,_,_,_,count of days when daily maximum temperature is above {TT} degC,,,,,,,,,,,
ctxlt{TT},1,CF-1.5,3,31,spell_length,3,"threshold, condition, reducer",1,ann/sea/mon,ann,spell_length_of_days_with_air_temperature_below_threshold,v65,spell_length_with_air_temperature_below_threshold,time: maximum within days time: maximum over days,Maximum number of consequtive days with Tmax < {TT}C,day,day,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: <, reducer: maximum",,,,,,tasmax,day,air_temperature,time: maximum,_,_,_,count of days when daily maximum temperature is below {TT} degC,,,,,,,,,,,
ctxge{TT},0,CF-1.5,3,32,spell_length,3,"threshold, condition, reducer",1,ann/sea/mon,ann,spell_length_of_days_with_air_temperature_above_threshold,v65,spell_length_with_air_temperature_at_or_above_threshold,time: maximum within days time: maximum over days,Maximum number of consequtive days with Tmax >= {TT}C,day,day,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: >=, reducer: maximum",,,,,,tasmax,day,air_temperature,time: maximum,_,_,_,count of days when daily maximum temperature is above or equal {TT} degC,,,,,,,,,,,
ctxle{TT},0,CF-1.5,3,33,spell_length,3,"threshold, condition, reducer",1,ann/sea/mon,ann,spell_length_of_days_with_air_temperature_below_threshold,v65,spell_length_with_air_temperature_at_or_below_threshold,time: maximum within days time: maximum over days,Maximum number of consequtive days with Tmax <= {TT}C,day,day,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: <=, reducer: maximum",,,,,,tasmax,day,air_temperature,time: maximum,_,_,_,count of days when daily maximum temperature is below or equal {TT} degC,,,,,,,,,,,
ctmgt{TT},1,CF-1.5,3,34,spell_length,3,"threshold, condition, reducer",1,ann/sea/mon,ann,spell_length_of_days_with_air_temperature_above_threshold,v65,spell_length_with_air_temperature_above_threshold,time: mean within days time: maximum over days,Maximum number of consequtive days with Tmean > {TT}C,day,day,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: >, reducer: maximum",,,,,,tas,day,air_temperature,time: mean,_,_,_,count of days when daily mean temperature is above {TT} degC,,,,,,,,,,,
ctmlt{TT},1,CF-1.5,3,35,spell_length,3,"threshold, condition, reducer",1,ann/sea/mon,ann,spell_length_of_days_with_air_temperature_below_threshold,v65,spell_length_with_air_temperature_below_threshold,time: mean within days time: maximum over days,Maximum number of consequtive days with Tmean < {TT}C,day,day,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: <, reducer: maximum",,,,,,tas,day,air_temperature,time: mean,_,_,_,count of days when daily mean temperature is below {TT} degC,,,,,,,,,,,
ctmge{TT},0,CF-1.5,3,36,spell_length,3,"threshold, condition, reducer",1,ann/sea/mon,ann,spell_length_of_days_with_air_temperature_above_threshold,v65,spell_length_with_air_temperature_at_or_above_threshold,time: mean within days time: maximum over days,Maximum number of consequtive days with Tmean >= {TT}C,day,day,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: >=, reducer: maximum",,,,,,tas,day,air_temperature,time: mean,_,_,_,count of days when daily mean temperature is above or equal {TT} degC,,,,,,,,,,,
ctmle{TT},0,CF-1.5,3,37,spell_length,3,"threshold, condition, reducer",1,ann/sea/mon,ann,spell_length_of_days_with_air_temperature_below_threshold,v65,spell_length_with_air_temperature_at_or_below_threshold,time: mean within days time: maximum over days,Maximum number of consequtive days with Tmean <= {TT}C,day,day,days,CLIPC,"threshold: (var_name: threshold, standard_name: air_temperature, value: {TT}, unit: degree_Celsius), condition: <=, reducer: maximum",,,,,,tas,day,air_temperature,time: mean,_,_,_,count of days when daily mean temperature is below or equal{TT} degC,,,,,,,,,,,
gsl,0,NOT,1,38,growing [spell_length],2,"gsstart, gsend",1,ann,ann,_,_,??????,time: mean within days time: sum over days (between start and end of vegetationseason),ETCCDI Growing Season Length (Tmean > 5C),second,day,days,ETCCDI,,"threshold_days, threshold_temperature","??????, ??????","6, 5","day, degree_Celsius",">, <",tas,day,air_temperature,time: mean,gsl,Growing season length,"Annual (1st Jan to 31st Dec in NH, 1st July to 30st June in SH) count between first span of at least 6 days with TM>5ºC and first span after July 1 (January 1 in SH) of 6 days with TM<5C",_,,,,,,,,,,,
gsstart,0,NOT,"2,5",39,growing [spell_beginning],3,"threshold, duration, offset",1,ann,ann,_,_,??????,time: mean within days time: ??????,Start of ETCCDI Growing Season (6 days with Tmean > 5C),day_of_year,day_of_year,day_of_year,CLIPC,,"threshold_days, threshold_temp, offset","??????, ??????","6, 5","day, degree_Celsius, day",">, >, _",tas,day,air_temperature,time: mean,_,_,_,_,,,,,,,,,,,
gsend,0,NOT,"2,5",40,growing [spell_end],3,"threshold, duration, offset",1,ann,ann,_,_,??????,time: mean within days time: ??????,End of ETCCDI Growing Season (6 days with Tmean < 5C),day_of_year,day_of_year,day_of_year,CLIPC,,"threshold_days, threshold_temp, offset","??????, ??????","6, 5","day, degree_Celsius, day",">, <, _",tas,day,air_temperature,time: mean,_,_,_,_,,,,,,,,,,,
gsgdd,0,NOT,"2,7",41,growing [degreesum],2,"threshold, gsstart, gsend",1,ann,ann,integral_of_air_temperature_excess_wrt_time,_,??????,time: mean within days time: sum over days,Degree Days (Tmean >5C) during ETCCDI Growing Season,Kelvin second,degree_Celsius day,degree_Celsius day,CLIPC,,"threshold_days, threshold_temp","??????, ??????","6, 5","day, degree_Celsius",">, >",tas,day,air_temperature,time: mean,_,_,_,_,,,,,,,,,,,
txx,1,CF-1.5,1,42,statistics,1,reducer,1,ann/sea/mon,ann,air_temperature,v65,,time: maximum within days time: maximum over days,Maximum daily maximum temperature,Kelvin,degree_Celsius,degree_Celsius,ETCCDI,reducer: maximum,,,,,,tasmax,day,air_temperature,time: maximum,txx,Maximum daily maximum temperature,Maximum value of daily TX,maximum of daily maximum temperature,,,,,,,,,,,FUN_max
tnx,1,CF-1.5,1,43,statistics,1,reducer,1,ann/sea/mon,ann,air_temperature,v65,,time: minimum within days time: maximum over days,Maximum daily minimum temperature,Kelvin,degree_Celsius,degree_Celsius,ETCCDI,reducer: maximum,,,,,,tasmin,day,air_temperature,time: minimum,tnx,Maximum daily minimum temperature,Maximum value of daily TN,maximum of daily minimum temperature,,,,,,,,,,,FUN_max
txn,1,CF-1.5,1,44,statistics,1,reducer,1,ann/sea/mon,ann,air_temperature,v65,,time: maximum within days time: minimum over days,Minimum daily maximum temperature,Kelvin,degree_Celsius,degree_Celsius,ETCCDI,reducer: minimum,,,,,,tasmax,day,air_temperature,time: maximum,txn,Minimum daily maximum temperature,Minimum value of daily TX,minimum of daily maximum temperature,,,,,,,,,,,FUN_min
tnn,1,CF-1.5,1,45,statistics,1,reducer,1,ann/sea/mon,ann,air_temperature,v65,,time: minimum within days time: minimum over days,Minimum daily minimum temperature,Kelvin,degree_Celsius,degree_Celsius,ETCCDI,reducer: minimum,,,,,,tasmin,day,air_temperature,time: minimum,tnn,Minimum daily minimum temperature,Minimum value of daily TN,minimum of daily minimum temperature,,,,,,,,,,,FUN_min
txmax,1,CF-1.5,3,46,statistics,1,reducer,1,ann/sea/mon,ann,air_temperature,v65,,time: maximum within days time: maximum over days,Maximum daily maximum temperature,Kelvin,degree_Celsius,degree_Celsius,CLIPC,reducer: maximum,,,,,,tasmax,day,air_temperature,time: maximum,_,_,_,mean of daily maximum temperature,,,,,,,,,,,FUN_max
tnmax,1,CF-1.5,3,47,statistics,1,reducer,1,ann/sea/mon,ann,air_temperature,v65,,time: minimum within days time: maximum over days,Maximum daily minimum temperature,Kelvin,degree_Celsius,degree_Celsius,CLIPC,reducer: maximum,,,,,,tasmin,day,air_temperature,time: maximum,_,_,_,mean of daily minimum temperature,,,,,,,,,,,FUN_max
